地域,云硬盘类型,云硬盘类型,云硬盘类型,云硬盘类型
地域,高性能云硬盘,SSD 云硬盘,增强型 SSD 云硬盘,极速型 SSD 云硬盘
华南地区（广州）,0.35,1.0,1.0,1.0
华东地区（上海）,0.35,1.0,1.0,1.0
华东地区（南京）,0.35,1.0,1.0,1.0
华北地区（北京）,0.35,1.0,1.0,1.0
西南地区（成都）,0.35,1.0,1.0,-
西南地区（重庆）,0.35,1.0,1.0,-
华东地区（上海金融专区）,0.56,1.76,-,-
华南地区（深圳金融专区）,0.56,1.76,-,-
华北地区（北京金融专区）,0.56,1.76,-,-
港澳台地区（中国香港）,0.35,1.1,1.5,-
北美地区（多伦多）,0.35,1.1,-,-
亚太东南地区（新加坡）,0.35,1.25,1.5,-
亚太东南地区（雅加达）,0.35,1.25,1.5,-
美国西部（硅谷）,0.35,1.15,1.5,-
欧洲地区（法兰克福）,0.35,1.25,1.5,-
亚太东北地区（首尔）,0.35,1.3,1.5,-
亚太地区（孟买）,0.35,1.2,1.5,-
美国东部（弗吉尼亚）,0.35,1.25,1.5,-
亚太东南地区（曼谷）,0.35,1.25,1.5,-
欧洲东部（莫斯科）,0.35,1.3,1.5,-
亚太东北地区（东京）,0.35,1.5,1.5,-
南美地区（圣保罗）,0.35,1.25,1.5,-
