配置类型,数据库类型,实例规格,按量T1（元/小时）,按量T2（元/小时）,按量T3（元/小时）,包月（元/月）,包年（元/年）,3年（元/3年）
单节点,MySQL只读实例,1核1000MB内存,0.14,0.11,0.07,51.00,507.96,918.00
单节点,MySQL只读实例,1核2000MB内存,0.28,0.21,0.14,102.00,1015.92,1836.00
单节点,MySQL只读实例,2核4000MB内存,0.57,0.43,0.28,204.00,2031.84,3672.00
单节点,MySQL只读实例,4核8000MB内存,1.13,0.85,0.57,408.00,4063.68,7344.00
单节点,MySQL只读实例,8核16000MB内存,2.71,1.80,1.35,974.00,9701.04,17532.00
单节点,MySQL只读实例,4核16000MB内存,2.27,1.70,1.13,816.00,8127.36,14688.00
单节点,MySQL只读实例,8核32000MB内存,4.53,3.40,2.27,1632.00,16254.72,29376.00
单节点,MySQL只读实例,16核32000MB内存,5.97,3.98,2.98,2148.00,21394.08,38664.00
单节点,MySQL只读实例,16核64000MB内存,9.07,6.80,4.53,3264.00,32509.44,58752.00
单节点,MySQL只读实例,16核96000MB内存,13.60,10.20,6.80,4342.00,43246.32,78156.00
单节点,MySQL只读实例,16核128000MB内存,18.13,13.60,9.07,6528.00,65018.88,117504.00
单节点,MySQL只读实例,24核244000MB内存,34.57,25.93,17.28,12444.00,123942.24,223992.00
单节点,MySQL只读实例,48核488000MB内存,69.13,51.85,34.57,24888.00,247884.48,447984.00
